,Word,Is not important
0,ณ,0
1,ฯ,0
2,ๆ,0
3,กู,0
4,ก็,0
5,ขอ,0
6,คง,0
7,คะ,0
8,คำ,0
9,จง,0
10,จด,0
11,จน,0
12,จะ,0
13,จำ,0
14,ซะ,0
15,ตน,0
16,ที,0
17,นะ,0
18,นำ,0
19,บน,0
20,ผล,0
21,พบ,0
22,พอ,0
23,พา,0
24,มา,0
25,มิ,0
26,มี,0
27,ยก,0
28,รึ,0
29,ลง,0
30,ละ,0
31,หน,0
32,ฯล,0
33,แก,0
34,โต,0
35,ใน,0
36,ไง,0
37,ไป,0
38,ไร,0
39,กัน,0
40,กับ,0
41,การ,0
42,ขณะ,0
43,ของ,0
44,ขาด,0
45,ข้า,0
46,ครบ,0
47,ครา,0
48,ควร,0
49,คิด,0
50,คือ,0
51,คุณ,0
52,ค่ะ,0
53,จรด,0
54,จวน,0
55,จวบ,0
56,จัง,0
57,จัด,0
58,จับ,0
59,จาก,0
60,จึง,0
61,จ้ะ,0
62,จ้า,0
63,จ๊ะ,0
64,จ๋า,0
65,ฉัน,0
66,ชาว,0
67,ช้า,0
68,ดัง,0
69,ตนฯ,0
70,ตรง,0
71,ตาม,0
72,ต่อ,0
73,ถึง,0
74,ถือ,0
75,ถูก,0
76,ถ้า,0
77,ทรง,0
78,ทัน,0
79,ทาง,0
80,ทำๆ,0
81,ทีๆ,0
82,ที่,0
83,ทุก,0
84,ทํา,0
85,นอก,0
86,นัก,0
87,นับ,0
88,นาง,0
89,นาน,0
90,นาย,0
91,นิด,0
92,นี่,0
93,นี้,0
94,น่ะ,0
95,น่า,0
96,นํา,0
97,บอก,0
98,บาง,0
99,ปิด,0
100,ผิด,0
101,ผู้,0
102,พวก,0
103,พอๆ,0
104,พึง,0
105,พูด,0
106,ภาค,0
107,ภาย,0
108,มอง,0
109,มัก,0
110,มัน,0
111,มาก,0
112,มึง,0
113,ยอม,0
114,ยัง,0
115,ยาก,0
116,ยาว,0
117,รวด,0
118,รวม,0
119,รับ,0
120,ราย,0
121,รือ,0
122,วัน,0
123,ว่า,0
124,สุด,0
125,สูง,0
126,สู่,0
127,ส่ง,0
128,หนอ,0
129,หมด,0
130,หาก,0
131,ออก,0
132,อัน,0
133,อาจ,0
134,อีก,0
135,ฯลฯ,0
136,เขา,0
137,เคย,0
138,เฉย,0
139,เธอ,0
140,เรา,0
141,เลย,0
142,เอง,0
143,เอา,0
144,แก่,0
145,แค่,0
146,แต่,0
147,แท้,0
148,แบบ,0
149,แม้,0
150,แยะ,0
151,แรก,0
152,และ,0
153,โดย,0
154,โตๆ,0
155,ใคร,0
156,ใช่,0
157,ใช้,0
158,ใดๆ,0
159,ใต้,0
160,ให้,0
161,ไกล,0
162,ไฉน,0
163,ได้,0
164,ไป่,0
165,ไม่,0
166,ไว้,0
167,ไหน,0
168,กลับ,0
169,กว่า,0
170,ก็จะ,0
171,ก็ดี,0
172,ก่อน,0
173,ขวาง,0
174,ขั้น,0
175,ขึ้น,0
176,ข้าง,0
177,ข้าฯ,0
178,คงจะ,0
179,ครัน,0
180,ครับ,0
181,คราว,0
182,ความ,0
183,คุณๆ,0
184,ค่อน,0
185,ค่อย,0
186,ง่าย,0
187,จริง,0
188,จังๆ,0
189,จู่ๆ,0
190,ช่วง,0
191,ช่วย,0
192,ช้าๆ,0
193,ซะจน,0
194,ซึ่ง,0
195,ดั่ง,0
196,ด้วย,0
197,ด้าน,0
198,ตรงๆ,0
199,ตลอด,0
200,ตั้ง,0
201,ตามๆ,0
202,ต่าง,0
203,ต้อง,0
204,ถูกๆ,0
205,ทว่า,0
206,ทั่ว,0
207,ทั้ง,0
208,ทำไม,0
209,ทำไร,0
210,ทีละ,0
211,ทีใด,0
212,ทีไร,0
213,ที่ๆ,0
214,ทุกๆ,0
215,นักๆ,0
216,นั่น,0
217,นั้น,0
218,นานๆ,0
219,นำพา,0
220,นำมา,0
221,นิดๆ,0
222,นู่น,0
223,นู้น,0
224,น้อย,0
225,บางๆ,0
226,บ่อย,0
227,บ้าง,0
228,ปรับ,0
229,ผิดๆ,0
230,ผ่าน,0
231,ฝ่าย,0
232,พอจะ,0
233,พอดี,0
234,พอที,0
235,พอสม,0
236,พึ่ง,0
237,ภาคฯ,0
238,มันๆ,0
239,มั้ย,0
240,มั๊ย,0
241,มุ่ง,0
242,ยิ่ง,0
243,ย่อม,0
244,ย่อย,0
245,รวมๆ,0
246,ระยะ,0
247,ร่วม,0
248,ล้วน,0
249,สบาย,0
250,สมัย,0
251,สั้น,0
252,สิ่ง,0
253,สิ้น,0
254,สุดๆ,0
255,สูงๆ,0
256,ส่วน,0
257,หนอย,0
258,หรือ,0
259,หลัง,0
260,หลาย,0
261,อดีต,0
262,อยาก,0
263,อยู่,0
264,อะไร,0
265,อันๆ,0
266,อื่น,0
267,เกิด,0
268,เกิน,0
269,เก็บ,0
270,เข้า,0
271,เคยๆ,0
272,เฉยๆ,0
273,เช่น,0
274,เถอะ,0
275,เถิด,0
276,เท่า,0
277,เน้น,0
278,เปิด,0
279,เป็น,0
280,เยอะ,0
281,เราๆ,0
282,เร็ว,0
283,เล็ก,0
284,เสีย,0
285,เหตุ,0
286,เห็น,0
287,เอ็ง,0
288,แยะๆ,0
289,แล้ว,0
290,แสดง,0
291,แหละ,0
292,แห่ง,0
293,ใกล้,0
294,ใครๆ,0
295,ใคร่,0
296,ใหญ่,0
297,ใหม่,0
